Script started at 07:48:21
07:58:25 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:58:28 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:58:31 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:58:34 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:58:37 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:58:40 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:58:43 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:58:46 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:58:49 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
07:58:52 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=YES | ALREADY_RUNNING
07:58:55 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=YES | ALREADY_RUNNING
07:58:58 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=YES | ALREADY_RUNNING
07:59:01 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=YES | ALREADY_RUNNING
07:59:04 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=YES | ALREADY_RUNNING
07:59:07 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
07:59:10 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
07:59:13 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
07:59:16 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
07:59:19 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
07:59:22 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
07:59:25 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
07:59:28 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
07:59:31 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
07:59:34 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
07:59:37 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
07:59:40 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
07:59:43 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
07:59:46 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
07:59:49 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
07:59:52 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
07:59:55 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
07:59:58 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
08:00:01 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
08:00:04 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
08:00:07 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
08:00:10 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
08:00:13 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
08:00:16 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
08:00:19 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
08:00:22 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
08:00:25 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
08:00:28 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
08:00:31 | Dev=CMF Buds 2a | Conn=YES | Exe=NO | Proc=NO | EXE_NOT_FOUND
08:00:34 | Dev=CMF Buds 2a | Conn=NO | Exe=NO | Proc=NO | NOT_CONNECTED
08:00:37 | Dev=CMF Buds 2a | Conn=NO | Exe=NO | Proc=NO | NOT_CONNECTED
08:00:40 | Dev=CMF Buds 2a | Conn=NO | Exe=NO | Proc=NO | NOT_CONNECTED
08:00:43 | Dev=CMF Buds 2a | Conn=NO | Exe=NO | Proc=NO | NOT_CONNECTED
08:00:46 | Dev=CMF Buds 2a | Conn=NO | Exe=NO | Proc=NO | NOT_CONNECTED
08:00:49 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:00:52 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:00:55 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:00:58 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:01:01 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:01:04 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:01:07 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
